XML;1.0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJECT_NAME;Verones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;14/09/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;DUETTO_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUBE;CU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_CM;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_CM;17.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_PIXEL;2644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_PIXEL;3268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS_ORIGIN;TOP_LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOT_SIZE;XRF;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOT_SIZE;XRD;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOT_SIZE;RAMAN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSITION;-;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
X;-;0.31051437;0.13350983;0.15242057;0.35287443;0.63048411;0.46785174;0.78177005;0.4285174;0.79652042;0.55295008;0.52496218;0.50340393;0.57337368;0.74848714;0.0994705;0.43683812;0.73108926;0.33396369;0.5102118;0.67549168;0.64447806;0.35476551;0.24205749;0.24886536;0.80484115;0.59114977;0.27004539;0.08320726;0.13691377
Y;-;0.62331701;0.48225214;0.5373317;0.44216646;0.47919217;0.24449204;0.5621175;0.84026928;0.65697674;0.11872705;0.43512852;0.73561812;0.67319461;0.27845777;0.55110159;0.34577723;0.69889841;0.4874541;0.61627907;0.40820073;0.25856793;0.11995104;0.20257038;0.36842105;0.75703794;0.78855569;0.52723378;0.63157895;0.74877601
XRF;Pb;191.6;363.2;280.4;442.3;267.1;167.9;299.3;339.9;256.9;202.9;458.2;326.5;493.9;294.7;213.9;295.9;298.2;167.7;410.2;251.9;188.1;157.5;183.2;284.7;374.4;261.9;225.1;190.9;157.9
XRF;Hg;30.1;64.8;91.3;17.5;17.9;2.2;2.1;13.1;7.2;3.8;31.9;17.5;27.7;12.2;57.1;15.6;9.9;50.1;23.5;21.9;4.4;2.5;2.8;24.8;2.5;11.9;61.4;60.1;56.4
XRF;Si ;8.2;9.9;11.8;13.7;13.7;17.5;15.2;13.3;20.4;19.1;10.6;15.4;12.7;24.2;10.2;12.9;16.9;9.4;10.9;19.9;20.1;18.7;19.2;13.4;11.9;15.3;9.1;9.9;9.6
XRF;Al ;6.1;6.3;6.4;5.1;5.7;5.6;6.2;4.9;6.5;6.2;6.2;5.3;6.7;5.8;6.4;5.7;5.6;6.3;5.4;5.8;6.6;6.5;5.3;5.6;6.3;6.3;5.9;6.3;7.1
XRF;K ;200.6;163.3;162.8;161.4;183.9;166.4;232.7;191.5;231.4;194.5;146.7;200.9;161.8;210.8;185.9;160.2;197.1;184.7;161.1;197.5;180.9;183.8;175.3;163.9;181.3;208.6;175.5;213.3;213.9
XRF;Sb ;4.9;8.4;7.3;8.7;6.8;4.3;4.7;8.1;4.8;4.9;8.6;6.8;11.1;7.5;5.7;7.5;6.7;4.6;10.5;6.9;5.2;4.7;4.3;6.3;4.5;6.1;4.8;4.9;4.8
XRF;P ;13.7;10.7;15.1;10.5;15.7;32.5;10.9;10.5;12.3;41.1;17.5;11.6;11.4;22.2;11.3;14.5;18.9;11.8;10.7;18.7;38.5;39.4;33.9;17.9;11.1;11.9;13.2;11.7;12.6
XRF;Ca ;325.2;187.2;254.8;198.4;338.9;541.5;249.3;252.8;298.7;805.1;333.8;294.5;239.8;466.7;256.9;357.9;381.1;272.2;233.1;415.2;732.1;764.9;636.2;319.1;217.3;304.1;282.3;375.3;339.9
XRF;S ;178.9;299.8;281.3;324.6;223.5;224.9;247.6;234.3;265.8;237.5;323.9;238.1;349.7;240.9;204.8;253.4;274.1;194.3;339.9;228.8;244.9;232.3;229.2;273.9;381.5;189.2;201.6;174.4;196.8
XRF;Fe;81.9;194.98;263.68;335.81;368.57;362.1;100.83;134.45;90.28;444.1;248.55;245.88;262.03;554.82;106.66;308.59;218.91;102.43;247.49;532.33;453.5;407.81;397.22;275.38;110.44;173.15;115.71;112.26;89.26
XRF;Mn;12.01;12.54;10.06;9.97;11.65;10.76;10.76;12.25;11.71;10.7;11.36;10.2;11.19;10.38;13.09;11.08;11.29;13.07;11.98;11.28;11.73;10.7;10.59;10.93;10.79;11.33;11.01;11.6;11.96
